time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
1,1.0,0,6,1,0.9999904999999998,0.0,,,
2,3.0,0,13,6,0.9999430000000005,0.115,0.0001,1,0.0017817581538110971
